iteration,score,best,time,k_remove,destroy_mode
1,55.34349417,55.34349417,0.3441886,1,area
2,55.34349417,55.34349417,0.5942981,1,area
3,55.34349417,55.34349417,0.8411022,1,area
4,55.34349417,55.34349417,1.0779483,1,area
5,54.0172837,55.34349417,1.3740826,1,area
6,55.34349417,55.34349417,1.5878567,1,area
7,55.34349417,55.34349417,1.8268418,1,area
8,55.34349417,55.34349417,2.1214809,1,area
9,55.34349417,55.34349417,2.3466263,2,area
10,55.34349417,55.34349417,2.6666133,2,area
11,55.34349417,55.34349417,2.9549095,1,area
12,55.34349417,55.34349417,3.2628845,1,area
13,55.34349417,55.34349417,3.6853445,1,area
14,53.55835756,55.34349417,3.9561689,2,area
15,55.34349417,55.34349417,4.1708711,1,area
16,55.34349417,55.34349417,4.4213069,2,area
17,55.34349417,55.34349417,4.7065355,2,area
18,55.34349417,55.34349417,4.9965978,2,area
19,55.34349417,55.34349417,5.3498911,2,area
20,55.34349417,55.34349417,5.727974,1,area
21,55.34349417,55.34349417,6.0268052,2,area
22,55.34349417,55.34349417,6.3313717,1,area
23,55.34349417,55.34349417,6.5652903,2,area
24,55.34349417,55.34349417,6.8890527,2,area
25,55.34349417,55.34349417,7.1973658,2,area
26,55.34349417,55.34349417,7.579704,2,area
27,53.55835756,55.34349417,7.8862472,2,area
28,55.34349417,55.34349417,8.1469608,1,area
29,55.34349417,55.34349417,8.4289134,2,area
30,55.34349417,55.34349417,8.6899091,2,area
31,53.55835756,55.34349417,8.9700329,2,area
32,53.55835756,55.34349417,9.2845005,2,area
33,55.34349417,55.34349417,9.5442923,2,area
34,55.34349417,55.34349417,9.8784981,2,area
35,55.34349417,55.34349417,10.2638196,2,area
36,50.99163651,55.34349417,10.4993385,1,area
37,50.99163651,55.34349417,10.7896102,2,area
38,54.0172837,55.34349417,11.1303055,2,area
39,55.34349417,55.34349417,11.3690983,2,area
40,53.55835756,55.34349417,11.623427,2,area
41,55.34349417,55.34349417,11.861956,2,area
42,55.34349417,55.34349417,12.0935987,1,area
43,55.34349417,55.34349417,12.388497,2,area
44,55.34349417,55.34349417,12.6581992,2,area
45,55.34349417,55.34349417,12.9062017,1,area
46,55.34349417,55.34349417,13.1557291,1,area
47,55.34349417,55.34349417,13.4566994,1,area
48,55.34349417,55.34349417,13.7919346,2,area
49,55.34349417,55.34349417,14.0331637,1,area
50,54.0172837,55.34349417,14.2803286,2,area
