iter,move,obj,temp,accepted,detail,elapsed
0,init,43.08428523194228,,1,greedy_start,0.0005589000065810978
0,init,43.08428523194228,,1,initial,0.0012329000164754689
1,open_close,43.73597196395266,,1,1->18,0.0018757000216282904
2,open_close,44.591567184543436,,1,5->16,0.003592200024286285
3,open_close,44.97694194488867,,1,18->12,0.005310800013830885
4,open_close,47.027698374449955,,1,9->6,0.00595610000891611
5,open_close,47.14076873974248,,1,12->18,0.020590200001606718
6,open_close,48.335939853326245,,1,6->13,0.02242570000817068
7,open_close,49.64738107720355,,1,16->6,0.02310260001104325
8,open_close,50.64469960327733,,1,13->5,0.042122200015001
9,open_close,52.177968622990456,,1,7->19,0.05680220000795089
10,open_close,54.01728370455484,,1,6->13,0.10674680001102388
