iter,move,obj,temp,accepted,detail,elapsed
0,init,19.809716828735798,,1,greedy_start,0.004498500027693808
0,init,19.809716828735798,,1,initial,0.0074130999855697155
1,open_close,33.24655962395758,,1,0->1,0.009580499958246946
2,open_close,37.947342465687655,,1,6->2,0.0161819999339059
3,open_close,40.55933104316125,,1,1->15,0.03155930002685636
4,open_close,42.68683509271871,,1,14->3,0.0400977999670431
5,open_close,42.80458738302174,,1,13->14,0.0660619999980554
6,open_close,42.805961775129695,,1,14->10,0.11325159994885325
7,open_close,43.03120006487559,,1,15->12,0.20413720002397895
8,open_close,44.11225215464909,,1,2->8,0.3071833000285551
9,open_close,45.4758827702547,,1,8->16,0.3870550999417901
