iter,move,obj,temp,accepted,detail,elapsed
0,init,11.847055554385,,1,greedy_start,0.00048099999548867345
0,init,11.847055554385,,1,initial,0.0013361999881453812
1,open_close,13.53655254449916,,1,18->19,0.003968699980759993
2,open_close,14.260173191630841,,1,3->8,0.004862000001594424
3,open_close,14.455828362820002,,1,4->7,0.037240699981339276
4,open_close,15.502386556676347,,1,2->12,0.03811530000530183
5,open_close,15.880302084423258,,1,12->4,0.03894229998695664
6,open_close,15.944645182708834,,1,4->10,0.04263119999086484
7,open_close,16.120981190023013,,1,8->9,0.06729360000463203
8,open_close,17.178525167346052,,1,9->6,0.11539520000224002
9,open_close,17.51032792201131,,1,6->4,0.13949869998032227
10,open_close,17.51523708557182,,1,4->0,0.18122259998926893
