iter,move,obj,temp,accepted,detail,elapsed
0,init,23.983675530878045,1.0,1,,0.18477749999146909
1,swap,23.983675530878045,1.0,0,revert 50->29,0.2388857000041753
2,swap,22.916322283748688,1.0,1,14->37,0.2751523999031633
3,swap,22.468049061440663,1.0,1,37->41,0.30713829991873354
4,swap,23.000351385243345,1.0,1,47->14,0.3356675999239087
5,swap,22.468049061440663,1.0,1,14->47,0.36626289994455874
6,swap,20.845112491940238,1.0,1,13->9,0.39592819998506457
7,swap,20.845112491940238,1.0,0,revert 50->54,0.4435657999711111
8,swap,21.1946857283155,1.0,1,9->15,0.47185069997794926
9,swap,21.898299472367118,1.0,1,41->45,0.5013966999249533
10,swap,22.808908267269086,1.0,1,15->6,0.5274456999031827
11,swap,22.082626700530245,1.0,1,6->52,0.5624101998982951
12,swap,20.858818745057533,1.0,1,34->46,0.5944616999477148
13,swap,20.858818745057533,1.0,0,revert 20->31,0.6611612999113277
14,swap,20.858818745057533,1.0,0,revert 20->38,0.7090338999405503
15,swap,19.442549171578744,1.0,1,50->33,0.7338725998997688
16,swap,19.437859441916867,1.0,1,45->7,0.7671815999783576
17,swap,20.495903162166538,1.0,1,46->45,0.7965124999172986
18,swap,20.495903162166538,1.0,0,revert 7->57,0.8545470999088138
19,swap,20.495903162166538,1.0,0,revert 47->28,0.9016833999194205
20,swap,20.495903162166538,1.0,0,revert 33->48,0.967665100004524
21,swap,20.495903162166538,0.95,0,revert 47->9,1.0327211999101564
22,swap,20.28781255215192,0.95,1,52->39,1.0584918999811634
23,swap,20.34732795263426,0.95,1,7->10,1.0860913000069559
24,swap,20.307572030458978,0.95,1,10->43,1.1140234000049531
25,swap,20.307572030458978,0.95,0,revert 45->23,1.1673065999057144
26,swap,20.307572030458978,0.95,0,revert 47->9,1.2147957999259233
27,swap,19.919021960910623,0.95,1,47->30,1.243086599977687
28,swap,19.43040780581331,0.95,1,20->28,1.2695800999645144
29,swap,19.43040780581331,0.95,0,revert 30->57,1.3254588999552652
30,swap,19.479496889438476,0.95,1,28->18,1.3519871999742463
31,swap,19.067172574487778,0.95,1,45->38,1.3780463999137282
32,swap,19.988024967838825,0.95,1,30->14,1.4041365999728441
33,swap,20.701341741885336,0.95,1,39->21,1.430076599936001
34,swap,20.65225265826017,0.95,1,18->28,1.458680099924095
35,swap,20.77295649707866,0.95,1,28->6,1.484173099976033
36,swap,20.356847214229063,0.95,1,21->58,1.5090148999588564
37,swap,19.908951953369165,0.95,1,6->41,1.5398760999087244
38,swap,19.988228270551428,0.95,1,33->17,1.565610499936156
39,swap,19.691020779354506,0.95,1,58->39,1.5855872000101954
40,swap,18.64982873141247,0.95,1,14->54,1.611594699905254
41,swap,18.914469384350365,0.9025,1,43->47,1.6376906000077724
42,swap,18.914469384350365,0.9025,0,revert 54->31,1.6897965999087319
43,swap,19.13895897724476,0.9025,1,54->7,1.7156706999521703
44,swap,19.13895897724476,0.9025,0,revert 38->1,1.776211499935016
45,swap,18.887930223714918,0.9025,1,7->6,1.8045952999964356
46,swap,18.887930223714918,0.9025,0,revert 6->42,1.8529786999570206
47,swap,18.887930223714918,0.9025,0,revert 6->44,1.9207446000073105
48,swap,19.15871845555182,0.9025,1,6->43,1.9455697999801487
49,swap,19.15871845555182,0.9025,0,revert 47->0,1.9971523999702185
50,swap,19.376192298262573,0.9025,1,17->42,2.0239885000046343
51,swap,20.310564475016033,0.9025,1,39->49,2.067108599934727
52,swap,20.492311518633173,0.9025,1,42->51,2.094750899937935
53,swap,20.492311518633173,0.9025,0,revert 38->58,2.1995084999362007
54,swap,19.813417079912753,0.9025,1,38->2,2.2261600999627262
55,swap,19.813417079912753,0.9025,0,revert 49->25,2.283762599923648
56,swap,19.365521819052844,0.9025,1,49->57,2.3158190000103787
57,swap,19.38979049057815,0.9025,1,57->53,2.3426357998978347
58,swap,19.38979049057815,0.9025,0,revert 47->48,2.387986999936402
59,swap,19.38979049057815,0.9025,0,revert 47->10,2.438401499995962
60,swap,19.300919812796497,0.9025,1,47->50,2.4722590999444947
61,swap,19.92209281438084,0.8573749999999999,1,50->14,2.501570599968545
62,swap,19.92209281438084,0.8573749999999999,0,revert 43->56,2.5468454000074416
63,swap,20.54763610084891,0.8573749999999999,1,51->19,2.57991669990588
64,swap,20.303925896736224,0.8573749999999999,1,53->27,2.6183058999013156
65,swap,20.99780185081895,0.8573749999999999,1,27->54,2.6481167000019923
66,swap,20.99780185081895,0.8573749999999999,0,revert 14->59,2.7278340999037027
67,swap,21.83330212129835,0.8573749999999999,1,2->6,2.7698158998973668
68,swap,21.783712426510963,0.8573749999999999,1,6->32,2.8085874000098556
69,swap,20.982046509571106,0.8573749999999999,1,19->27,2.8529681999934837
70,swap,20.798901517176684,0.8573749999999999,1,54->38,2.8858441999182105
71,swap,20.663913073566015,0.8573749999999999,1,27->46,2.924775999970734
72,swap,21.112186295874036,0.8573749999999999,1,41->37,2.965105399955064
73,swap,20.488814784068794,0.8573749999999999,1,32->42,3.0042128999484703
74,swap,20.488814784068794,0.8573749999999999,0,revert 14->49,3.066589599940926
75,swap,20.488814784068794,0.8573749999999999,0,revert 37->55,3.1439236999722198
76,swap,20.670561827685933,0.8573749999999999,1,42->51,3.182725499966182
77,swap,20.49443919721414,0.8573749999999999,1,51->27,3.219621600001119
78,swap,20.7853741524657,0.8573749999999999,1,38->19,3.2588952999794856
79,swap,21.165006813715195,0.8573749999999999,1,46->56,3.2994916999014094
80,swap,20.338686691299063,0.8573749999999999,1,14->4,3.3379204999655485
81,swap,19.6988563328031,0.8145062499999999,1,4->23,3.377607799950056
82,swap,19.6988563328031,0.8145062499999999,0,revert 37->21,3.4364635999081656
83,swap,19.6988563328031,0.8145062499999999,0,revert 43->48,3.507797500002198
84,swap,20.366193126250383,0.8145062499999999,1,27->49,3.544647099915892
85,swap,19.986560465000885,0.8145062499999999,1,56->46,3.572572399978526
86,swap,19.986560465000885,0.8145062499999999,0,revert 43->22,3.6255313999718055
87,swap,20.783503441741466,0.8145062499999999,1,43->14,3.657244100002572
88,swap,21.229683687286485,0.8145062499999999,1,37->50,3.687857099925168
89,swap,21.869514045782445,0.8145062499999999,1,23->4,3.718330999952741
