N,seed,policy,score_exact,score_greedy,score_heuristic,optimal_exact
20,1,closest_only,55.590730876132845,52.168245886460795,54.341871664565495,False
20,1,closest_priority,57.713635736978546,43.86069260039862,54.6700801991165,False
20,1,system_optimum,59.17310463731606,19.61713020312683,55.343494174008896,False
20,1,uniform,59.17310463731606,40.16876702724947,54.52217021598543,False
20,11,closest_only,45.8906062620759,37.85334102088133,44.53996352547759,False
20,11,closest_priority,46.99922469460989,33.88625931984248,44.40168675341395,False
20,11,system_optimum,47.27731940710632,20.41588572328279,46.68785225037447,False
20,11,uniform,47.27731940710632,37.43335086040788,47.01185045801075,False
40,1,closest_only,108.61320189635408,106.20975856815113,106.90719569435234,False
40,1,closest_priority,110.71725498676558,70.36119215912974,106.96180370603545,False
40,1,system_optimum,112.29605738295946,36.2430679456369,108.73138568269039,False
40,1,uniform,112.29605738295946,103.717632340881,109.25672798797743,False
40,11,closest_only,111.64639886573937,103.74609840733915,111.64639886572824,False
40,11,closest_priority,112.97902149516744,85.71489628055313,109.80740161234505,False
40,11,system_optimum,113.34923105441054,48.61076942986273,107.04259646123808,False
40,11,uniform,113.34923105441054,100.60652852680843,113.08414918102578,False
60,1,closest_only,177.06597123696523,177.19535274910055,175.5842229519339,False
60,1,closest_priority,178.88078320388325,161.69088330083298,173.23336072502923,False
60,1,system_optimum,180.0,87.71325218909502,176.8359221628415,False
60,1,uniform,180.0,157.5249788982136,177.38512220560372,False
60,11,closest_only,175.21090423646024,173.31039112386833,173.31039112386833,False
60,11,closest_priority,177.18580678533817,143.5232126212128,171.6074116797534,False
60,11,system_optimum,177.1858067853383,74.77878377934438,173.99043348396646,False
60,11,uniform,177.1858067853383,156.24102604206914,173.0624566693689,False
