iteration,score,best,time,k_remove,destroy_mode
1,55.343494174008896,55.343494174008896,0.2613276999909431,1,area
2,55.343494174008896,55.343494174008896,0.6242112999316305,1,area
3,55.343494174008896,55.343494174008896,0.9513943998608738,1,area
4,55.343494174008896,55.343494174008896,1.181513800052926,1,area
5,55.343494174008896,55.343494174008896,1.5632972999010235,1,area
6,55.343494174008896,55.343494174008896,1.89693499985151,1,area
7,55.343494174008896,55.343494174008896,2.2506897000130266,1,area
8,55.343494174008896,55.343494174008896,2.7513188999146223,1,area
9,54.01728370455484,55.343494174008896,3.015245199901983,2,area
10,55.343494174008896,55.343494174008896,3.4565238000359386,2,area
11,55.343494174008896,55.343494174008896,3.7923588000703603,1,area
12,55.343494174008896,55.343494174008896,4.167158700060099,1,area
13,55.343494174008896,55.343494174008896,4.459080500062555,1,area
14,55.343494174008896,55.343494174008896,4.783029000042006,2,area
15,55.343494174008896,55.343494174008896,5.07400400005281,1,area
16,55.343494174008896,55.343494174008896,5.361960799898952,2,area
17,54.01728370455484,55.343494174008896,5.760694999946281,2,area
18,55.343494174008896,55.343494174008896,6.073213499970734,2,area
19,55.343494174008896,55.343494174008896,6.3661141998600215,2,area
20,55.343494174008896,55.343494174008896,6.632705099880695,1,area
21,54.01728370455484,55.343494174008896,6.942033299943432,2,area
22,55.343494174008896,55.343494174008896,7.314028599997982,1,area
23,55.343494174008896,55.343494174008896,7.639687099959701,2,area
24,55.343494174008896,55.343494174008896,7.91052299994044,2,area
25,55.343494174008896,55.343494174008896,8.218266899930313,2,area
26,55.343494174008896,55.343494174008896,8.536944400053471,2,area
27,55.343494174008896,55.343494174008896,8.79381989990361,2,area
28,55.343494174008896,55.343494174008896,9.15703979996033,1,area
29,55.343494174008896,55.343494174008896,9.419837599853054,2,area
30,55.343494174008896,55.343494174008896,9.803419899893925,2,area
31,53.55835755754417,55.343494174008896,10.13308469997719,2,area
32,53.55835755754417,55.343494174008896,10.409451199928299,2,area
33,53.55835755754417,55.343494174008896,10.736704200040549,2,area
34,54.01728370455484,55.343494174008896,10.989548800047487,2,area
35,55.343494174008896,55.343494174008896,11.271408699918538,2,area
36,53.55835755754417,55.343494174008896,11.51247929991223,1,area
37,55.343494174008896,55.343494174008896,11.8117893000599,2,area
38,53.55835755754417,55.343494174008896,12.101548200007528,2,area
39,55.343494174008896,55.343494174008896,12.449232199927792,2,area
40,55.343494174008896,55.343494174008896,12.699872100027278,2,area
41,55.343494174008896,55.343494174008896,12.961655399994925,2,area
42,55.343494174008896,55.343494174008896,13.38641560007818,1,area
43,55.343494174008896,55.343494174008896,13.692237399984151,2,area
44,55.343494174008896,55.343494174008896,13.962935500079766,2,area
45,55.343494174008896,55.343494174008896,14.216399899916723,1,area
46,55.343494174008896,55.343494174008896,14.516009799903259,1,area
47,55.343494174008896,55.343494174008896,14.826492399908602,1,area
48,52.035567602319276,55.343494174008896,15.105902899987996,2,area
49,55.343494174008896,55.343494174008896,15.4361294999253,1,area
50,52.035567602319276,55.343494174008896,15.738858199911192,2,area
51,55.343494174008896,55.343494174008896,16.0844268000219,1,area
52,55.343494174008896,55.343494174008896,16.375174700049683,1,area
53,55.343494174008896,55.343494174008896,16.696120799984783,1,area
54,55.343494174008896,55.343494174008896,16.995615999912843,2,area
55,55.343494174008896,55.343494174008896,17.312993000028655,1,area
56,55.343494174008896,55.343494174008896,17.597124099964276,1,area
57,55.343494174008896,55.343494174008896,17.843078800011426,1,area
58,55.343494174008896,55.343494174008896,18.18271099985577,2,area
59,55.343494174008896,55.343494174008896,18.505679599940777,2,area
60,55.343494174008896,55.343494174008896,18.747169399866834,1,area
61,55.343494174008896,55.343494174008896,19.03125540004112,1,area
62,55.343494174008896,55.343494174008896,19.357362299924716,2,area
63,55.343494174008896,55.343494174008896,19.648562900023535,1,area
64,55.343494174008896,55.343494174008896,19.96772850002162,2,area
65,55.343494174008896,55.343494174008896,20.315699399914593,1,area
66,55.343494174008896,55.343494174008896,20.63584619993344,2,area
67,50.9916365087996,55.343494174008896,20.936982499901205,2,area
68,55.343494174008896,55.343494174008896,21.16222619987093,2,area
69,53.55835755754417,55.343494174008896,21.451350999996066,1,area
70,55.343494174008896,55.343494174008896,21.709509100066498,1,area
71,55.343494174008896,55.343494174008896,21.968521599890664,1,area
72,53.55835755754417,55.343494174008896,22.252076199976727,1,area
73,53.55835755754417,55.343494174008896,22.58353989990428,2,area
74,53.55835755754417,55.343494174008896,22.821724799927324,2,area
75,55.343494174008896,55.343494174008896,23.05860559991561,1,area
76,55.343494174008896,55.343494174008896,23.31232799985446,2,area
77,54.01728370455484,55.343494174008896,23.56327120005153,1,area
78,55.343494174008896,55.343494174008896,23.848650800064206,2,area
79,55.343494174008896,55.343494174008896,24.15726920007728,2,area
80,54.01728370455484,55.343494174008896,24.497252299916,1,area
81,55.343494174008896,55.343494174008896,24.802773299859837,2,area
82,52.035567602319276,55.343494174008896,25.065961600048468,2,area
83,55.343494174008896,55.343494174008896,25.506218699971214,1,area
84,55.343494174008896,55.343494174008896,25.78143920004368,1,area
85,55.343494174008896,55.343494174008896,26.043648299993947,1,area
86,55.343494174008896,55.343494174008896,26.328365799970925,2,area
87,55.343494174008896,55.343494174008896,26.566415899898857,1,area
88,55.343494174008896,55.343494174008896,26.864852899918333,2,area
89,55.343494174008896,55.343494174008896,27.15086519997567,2,area
90,54.01728370455484,55.343494174008896,27.54226899985224,2,area
91,55.343494174008896,55.343494174008896,27.919752900023013,2,area
92,55.343494174008896,55.343494174008896,28.223798099905252,2,area
93,55.343494174008896,55.343494174008896,28.494082699995488,1,area
94,54.01728370455484,55.343494174008896,28.73910290002823,1,area
95,53.55835755754417,55.343494174008896,29.13410839997232,2,area
96,55.343494174008896,55.343494174008896,29.480201500002295,2,area
97,55.343494174008896,55.343494174008896,29.85322090005502,2,area
98,52.035567602319276,55.343494174008896,30.129340099869296,2,area
99,55.343494174008896,55.343494174008896,30.52657169988379,2,area
100,55.343494174008896,55.343494174008896,30.86132869985886,2,area
101,55.343494174008896,55.343494174008896,31.172200199915096,2,area
102,55.343494174008896,55.343494174008896,31.52581869997084,2,area
103,54.01728370455484,55.343494174008896,31.856229699915275,2,area
104,55.343494174008896,55.343494174008896,32.214503000024706,1,area
105,55.343494174008896,55.343494174008896,32.59575209999457,1,area
106,55.343494174008896,55.343494174008896,32.8695397998672,1,area
107,54.01728370455484,55.343494174008896,33.202742599882185,2,area
108,55.343494174008896,55.343494174008896,33.54725899989717,1,area
109,55.343494174008896,55.343494174008896,33.910420399857685,2,area
110,55.343494174008896,55.343494174008896,34.27653510007076,1,area
111,55.343494174008896,55.343494174008896,34.53208849998191,2,area
112,55.343494174008896,55.343494174008896,34.963523800019175,2,area
113,55.343494174008896,55.343494174008896,35.28999729990028,2,area
114,55.343494174008896,55.343494174008896,35.554088099859655,1,area
115,54.01728370455484,55.343494174008896,35.92525790003128,1,area
