station,status,load_exact,load_best,load_diff_best_minus_exact
112,common,43.20033856253571,44.772694018246725,1.572355455711012
114,only_exact,45.00000000000002,0.0,-45.00000000000002
49,only_exact,45.0,0.0,-45.0
68,only_exact,45.0,0.0,-45.0
52,only_exact,44.99999999999998,0.0,-44.99999999999998
65,only_exact,43.88034352876874,0.0,-43.88034352876874
18,only_exact,42.751086876963875,0.0,-42.751086876963875
131,only_exact,41.57994783651679,0.0,-41.57994783651679
51,only_exact,35.837514268029985,0.0,-35.837514268029985
32,only_exact,28.612896185194494,0.0,-28.612896185194494
135,only_best,0.0,44.61163459282171,44.61163459282171
121,only_best,0.0,44.52927362580695,44.52927362580695
76,only_best,0.0,44.47567772470048,44.47567772470048
136,only_best,0.0,44.45852614627669,44.45852614627669
9,only_best,0.0,43.90433501917628,43.90433501917628
96,only_best,0.0,43.525800146261616,43.525800146261616
148,only_best,0.0,43.237256356442714,43.237256356442714
98,only_best,0.0,42.936126551162566,42.936126551162566
104,only_best,0.0,40.8157431787845,40.8157431787845
