filename,file,lineno,function,ncalls,tottime_s,cumtime_s,tottime_%,cumtime_%_vs_total_tottime,group
C:\Users\asus\OneDrive\EV-projects\evcs-projects\scripts\destruction_reconstruction.py,destruction_reconstruction.py,59,run_one_policy,1,0.0049752,61.5878916,0.008078211,99.99999919,your code (other)
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py,methods.py,346,local_search,60,0.0916219,60.4282884,0.148766092,98.11715638,local_search
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py,methods.py,359,reassign_y,31126,3.1537617,48.6757928,5.120749538,79.03467896,reassign_y
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\set.py,set.py,536,__contains__,16511859,6.5735188,27.0633654,10.67339468,43.94267197,membership checks
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py,methods.py,365,<listcomp>,622520,3.0587153,21.8507296,4.9664231,35.47893726,your code (other)
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\var.py,var.py,197,value,4029035,1.0256866,16.6182294,1.665402996,26.98294881,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\var.py,var.py,134,set_value,4029167,5.5956278,15.5926042,9.0855972,25.31764551,pyomo internals
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\set.py,set.py,1325,get,12483044,4.2040434,13.1714651,6.826087493,21.38645219,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\numeric_types.py,numeric_types.py,331,value,9718166,1.9955466,12.0769657,3.240160577,19.60931814,other
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py,methods.py,383,objective,15699,0.0128037,11.1261912,0.020789314,18.06554961,your code (other)
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\objective.py,objective.py,465,__call__,15761,0.0253472,11.1248002,0.041156141,18.06329105,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\expression.py,expression.py,58,__call__,15761,0.0326956,11.0891433,0.053087707,18.00539509,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\base.py,base.py,102,__call__,15781,0.0188462,11.0487043,0.030600495,17.93973446,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\visitor.py,visitor.py,1279,evaluate_expression,15781,0.0399775,11.026549,0.064911298,17.90376099,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\visitor.py,visitor.py,887,dfs_postorder_stack,16047,4.6729919,10.9919505,7.58751719,17.84758355,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\indexed_component.py,indexed_component.py,44,normalize_index,12483268,8.3258761,8.9675942,13.51868982,14.56064479,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\set.py,set.py,2738,get,4029079,2.8710631,6.6504379,4.661733016,10.7982879,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\visitor.py,visitor.py,1202,visiting_potential_leaf,5311497,2.1686889,4.6573903,3.521290997,7.562184938,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\var.py,var.py,965,__getitem__,8161147,3.0010143,4.5373613,4.87273423,7.367294358,other
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py,methods.py,366,<listcomp>,622520,1.684277,3.8409328,2.734753444,6.236506347,your code (other)
~,~,0,<built-in method builtins.any>,4029079,0.718139,3.442399,1.166039258,5.589408701,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\set.py,set.py,2745,<genexpr>,8058158,1.4133493,3.0612358,2.294849283,4.970515625,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\range.py,range.py,160,__contains__,4029079,1.603301,1.6478865,2.603273055,2.675666343,membership checks
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\indexed_component.py,indexed_component.py,613,__getitem__,8163305,1.5367603,1.5367603,2.495231201,2.495231201,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\block.py,block.py,1267,clone,59,0.086637,0.9124966,0.140672131,1.481616871,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\var.py,var.py,201,__call__,1765232,0.51298,0.8466068,0.832923457,1.374631882,other
c:\Users\asus\miniconda3\envs\evcs\Lib\copy.py,copy.py,128,deepcopy,1298,0.0026815,0.8217015,0.00435394,1.334193251,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\component.py,component.py,100,__deepcopy__,118,0.0093781,0.8207824,0.015227181,1.332700912,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py,autoslots.py,319,__deepcopy_state__,76051,0.0930219,0.7445664,0.151039266,1.208949316,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\visitor.py,visitor.py,1198,visit,1781013,0.4395168,0.728842,0.71364157,1.183417674,other
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py,methods.py,360,<dictcomp>,31126,0.3133378,0.6756578,0.508765261,1.097062713,your code (other)
~,~,0,<built-in method builtins.isinstance>,8990554,0.6684464,0.6685066,1.085353593,1.08545134,other
~,~,0,<built-in method builtins.len>,12570669,0.6496739,0.6499469,1.054872765,1.055316033,other
~,~,0,<built-in method builtins.sorted>,531653,0.3090094,0.5988856,0.501737256,0.972408017,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py,autoslots.py,381,<listcomp>,76051,0.0510035,0.5790207,0.082814167,0.940153462,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py,autoslots.py,102,fast_deepcopy,512356,0.1544706,0.5754469,0.25081326,0.934350698,other
~,~,0,<method 'append' of 'list' objects>,7388132,0.4680636,0.4680636,0.759992888,0.759992888,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py,autoslots.py,65,_deepcopy_dunder_deepcopy,52156,0.0183571,0.4511761,0.029806346,0.732572726,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py,autoslots.py,302,__deepcopy__,51743,0.026968,0.4383792,0.043787828,0.711794454,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\var.py,var.py,206,domain,4029167,0.4288033,0.4288033,0.696246105,0.696246105,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\staleflag.py,staleflag.py,27,_get_flag,4036822,0.4278476,0.4278476,0.694694339,0.694694339,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\var.py,var.py,192,value,4129974,0.4001146,0.4001146,0.649664384,0.649664384,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py,autoslots.py,22,_deepcopy_tuple,77290,0.0734315,0.3672052,0.119230416,0.596229531,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\expr_common.py,expr_common.py,224,_type_check_exception_arg,1812821,0.3515882,0.3515882,0.570872274,0.570872274,other
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py,methods.py,377,<lambda>,812987,0.2890084,0.2890084,0.469261717,0.469261717,your code (other)
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\numeric_expr.py,numeric_expr.py,1087,_apply_operation,1765232,0.2686915,0.2686915,0.436273252,0.436273252,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\numeric_expr.py,numeric_expr.py,731,args,1766308,0.2115806,0.2115806,0.343542526,0.343542526,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py,autoslots.py,47,_deepcopy_list,13747,0.0227884,0.2074652,0.037001429,0.336860368,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\base.py,base.py,339,is_expression_type,1782115,0.1714441,0.1714441,0.27837306,0.27837306,other
~,~,0,<built-in method builtins.hasattr>,1781312,0.1619908,0.162055,0.263023777,0.263128018,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\pyomoobject.py,pyomoobject.py,39,is_expression_type,1765272,0.1410525,0.1410525,0.229026348,0.229026348,pyomo internals
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py,autoslots.py,413,__getstate__,76051,0.0682481,0.1400701,0.110814151,0.227431229,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\numeric_expr.py,numeric_expr.py,727,nargs,1765700,0.1260873,0.1260873,0.204727416,0.204727416,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\numeric_expr.py,numeric_expr.py,249,is_numeric_type,1765259,0.1239158,0.1239158,0.201201561,0.201201561,other
~,~,0,<method 'pop' of 'list' objects>,1782061,0.1216785,0.1216785,0.197568866,0.197568866,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py,autoslots.py,445,__setstate__,76051,0.0993378,0.1139305,0.161294366,0.184988471,other
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\solve.py,solve.py,6,solve_model,1,1.86E-05,0.081836,3.02E-05,0.132876767,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\contrib\appsi\solvers\highs.py,highs.py,283,solve,1,2.86E-05,0.0813951,4.64E-05,0.13216088,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py,autoslots.py,56,_deepcopy_dict,2006,0.0166831,0.0734527,0.027088279,0.119264838,other
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py,methods.py,679,reconstruction_greedy,59,0.0002891,0.0701036,0.00046941,0.113826919,your code (other)
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py,methods.py,632,greedy_add_missing_sites,59,0.0073186,0.0674791,0.01188318,0.109565529,your code (other)
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\block.py,block.py,2034,_create_objects_for_deepcopy,59,0.0009187,0.0670157,0.001491689,0.108813109,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\indexed_component.py,indexed_component.py,339,_create_objects_for_deepcopy,826,0.0151207,0.0658106,0.024551417,0.106856393,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py,autoslots.py,430,<listcomp>,76051,0.03989,0.0593715,0.064769224,0.096401254,other
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py,methods.py,643,W1,1579,0.009406,0.0560801,0.015272482,0.091057021,your code (other)
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py,methods.py,15,evaluate_solution,62,0.0002819,0.0556041,0.00045772,0.090284142,your code (other)
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\contrib\appsi\solvers\highs.py,highs.py,248,_solve,1,5.04E-05,0.046463,8.18E-05,0.075441777,other
~,~,0,<built-in method highspy._core.run>,1,0.0421697,0.0423119,0.068470764,0.068701653,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\contrib\appsi\solvers\highs.py,highs.py,386,set_instance,1,4.87E-05,0.0348652,7.91E-05,0.056610478,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\set.py,set.py,1220,__iter__,31638,0.0148063,0.034632,0.024040927,0.056231832,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\contrib\appsi\base.py,base.py,1111,add_block,1,4.75E-05,0.0312398,7.71E-05,0.050723931,other
~,~,0,<built-in method builtins.sum>,16307,0.015198,0.0303147,0.024676928,0.04922185,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\contrib\appsi\base.py,base.py,1020,add_constraints,1,0.0012668,0.029346,0.002056898,0.047648976,other
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py,methods.py,386,get_order,1588,0.0029923,0.027988,0.004858585,0.045443997,your code (other)
c:\Users\asus\miniconda3\envs\evcs\Lib\random.py,random.py,376,shuffle,1588,0.0111454,0.0249957,0.018096739,0.040585412,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\component.py,component.py,211,_create_objects_for_deepcopy,23364,0.0162932,0.0249909,0.0264552,0.040577619,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\numeric_expr.py,numeric_expr.py,1182,args,16529,0.0230656,0.0230656,0.037451517,0.037451517,other
~,~,0,<built-in method math.copysign>,61378,0.0223627,0.0223627,0.036310221,0.036310221,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\numeric_expr.py,numeric_expr.py,1208,_apply_operation,15761,0.0072545,0.0206296,0.011779101,0.033496194,other
~,~,0,<built-in method builtins.getattr>,210674,0.0201647,0.0203929,0.032741338,0.033111866,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\set.py,set.py,1801,_iter_impl,31638,0.0136134,0.0198257,0.02210402,0.032190905,other
~,~,0,<built-in method builtins.id>,276969,0.0195573,0.0195573,0.031755105,0.031755105,other
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\model.py,model.py,13,build_base_model,2,0.0001194,0.015949,0.000193869,0.025896324,your code (other)
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\contrib\appsi\solvers\highs.py,highs.py,414,_add_constraints,1,0.0022063,0.0150373,0.00358236,0.024416,other
~,~,0,<built-in method math.remainder>,61378,0.0146659,0.0146659,0.02381296,0.02381296,other
