         166941999 function calls (164617338 primitive calls) in 61.588 seconds

   Ordered by: cumulative time
   List reduced from 854 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005   61.588   61.588 C:\Users\asus\OneDrive\EV-projects\evcs-projects\scripts\destruction_reconstruction.py:59(run_one_policy)
       60    0.092    0.002   60.428    1.007 C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py:346(local_search)
    31126    3.154    0.000   48.676    0.002 C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py:359(reassign_y)
 16511859    6.574    0.000   27.063    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\set.py:536(__contains__)
   622520    3.059    0.000   21.851    0.000 C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py:365(<listcomp>)
  4029035    1.026    0.000   16.618    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\var.py:197(value)
  4029167    5.596    0.000   15.593    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\var.py:134(set_value)
 12483044    4.204    0.000   13.171    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\set.py:1325(get)
9718166/7952914    1.996    0.000   12.077    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\numeric_types.py:331(value)
    15699    0.013    0.000   11.126    0.001 C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py:383(objective)
    15761    0.025    0.000   11.125    0.001 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\objective.py:465(__call__)
    15761    0.033    0.000   11.089    0.001 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\expression.py:58(__call__)
    15781    0.019    0.000   11.049    0.001 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\base.py:102(__call__)
    15781    0.040    0.000   11.027    0.001 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\visitor.py:1279(evaluate_expression)
    16047    4.673    0.000   10.992    0.001 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\visitor.py:887(dfs_postorder_stack)
 12483268    8.326    0.000    8.968    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\indexed_component.py:44(normalize_index)
  4029079    2.871    0.000    6.650    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\set.py:2738(get)
  5311497    2.169    0.000    4.657    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\visitor.py:1202(visiting_potential_leaf)
  8161147    3.001    0.000    4.537    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\var.py:965(__getitem__)
   622520    1.684    0.000    3.841    0.000 C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py:366(<listcomp>)
  4029079    0.718    0.000    3.442    0.000 {built-in method builtins.any}
  8058158    1.413    0.000    3.061    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\set.py:2745(<genexpr>)
