iteration,score,best,time,k_remove,destroy_mode
1,238.97767742151822,238.97767742151822,10.86205430002883,15,demand_high
2,238.97767742151822,238.97767742151822,21.19185599987395,13,demand_high
3,238.97767742151822,238.97767742151822,32.77480009989813,11,demand_high
4,238.97767742151822,238.97767742151822,45.067706800065935,11,demand_high
5,238.97767742151822,238.97767742151822,56.785684400005266,16,demand_high
6,238.97767742151822,238.97767742151822,69.1292784998659,9,demand_high
7,238.97767742151822,238.97767742151822,80.62241369998083,16,demand_high
8,238.97767742151822,238.97767742151822,91.86016929987818,10,demand_high
9,238.97767742151822,238.97767742151822,103.18875569989905,14,demand_high
10,238.97767742151822,238.97767742151822,114.17835559998639,16,demand_high
11,238.97767742151822,238.97767742151822,126.20054559991695,14,demand_high
12,238.97767742151822,238.97767742151822,137.2894238999579,10,demand_high
13,238.97767742151822,238.97767742151822,149.60977740003727,14,demand_high
14,238.97767742151822,238.97767742151822,160.9048631999176,11,demand_high
15,238.97767742151822,238.97767742151822,172.5088539000135,14,demand_high
16,238.97767742151822,238.97767742151822,184.00442930008285,9,demand_high
17,238.97767742151822,238.97767742151822,194.5486270999536,9,demand_high
18,238.97767742151822,238.97767742151822,205.6317451999057,13,demand_high
19,238.97767742151822,238.97767742151822,216.98081930004992,11,demand_high
20,238.97767742151822,238.97767742151822,228.51606779987924,11,demand_high
21,238.97767742151822,238.97767742151822,240.8287303999532,10,demand_high
22,238.97767742151822,238.97767742151822,251.98838180000894,12,demand_high
23,238.97767742151822,238.97767742151822,263.64594250009395,11,demand_high
24,238.97767742151822,238.97767742151822,276.25476999999955,15,demand_high
25,238.97767742151822,238.97767742151822,288.1689331000671,14,demand_high
26,238.97767742151822,238.97767742151822,299.31681569991633,13,demand_high
27,238.97767742151822,238.97767742151822,311.1570709000807,8,demand_high
28,238.97767742151822,238.97767742151822,323.5779655999504,8,demand_high
29,238.97767742151822,238.97767742151822,335.67048599990085,8,demand_high
30,238.97767742151822,238.97767742151822,346.28716149996035,13,demand_high
31,238.97767742151822,238.97767742151822,357.7178444999736,9,demand_high
32,238.97767742151822,238.97767742151822,370.14658719999716,12,demand_high
33,238.97767742151822,238.97767742151822,382.79293400002643,14,demand_high
34,238.97767742151822,238.97767742151822,393.5570729000028,16,demand_high
35,238.97767742151822,238.97767742151822,404.82763509987853,14,demand_high
36,238.97767742151822,238.97767742151822,415.90771270007826,14,demand_high
37,238.97767742151822,238.97767742151822,427.66907990002073,12,demand_high
38,238.97767742151822,238.97767742151822,439.02948349993676,12,demand_high
39,238.97767742151822,238.97767742151822,450.9461556999013,12,demand_high
40,238.97767742151822,238.97767742151822,462.7501135999337,12,demand_high
41,238.97767742151822,238.97767742151822,475.4044665999245,14,demand_high
42,238.97767742151822,238.97767742151822,487.39889349997975,9,demand_high
43,238.97767742151822,238.97767742151822,497.5267467999365,11,demand_high
44,238.97767742151822,238.97767742151822,509.45113940001465,14,demand_high
45,238.97767742151822,238.97767742151822,522.401790099917,13,demand_high
46,238.97767742151822,238.97767742151822,534.1573508000001,10,demand_high
47,238.97767742151822,238.97767742151822,545.9629883999005,13,demand_high
48,238.97767742151822,238.97767742151822,558.3344308000524,13,demand_high
49,238.97767742151822,238.97767742151822,569.8091376998927,11,demand_high
50,238.97767742151822,238.97767742151822,582.2282869999763,10,demand_high
51,238.97767742151822,238.97767742151822,595.8613046999089,13,demand_high
52,238.97767742151822,238.97767742151822,608.0955566000193,10,demand_high
